Fecha (UTC),Latitud,Longitud,Profundidad,Magnitud
2015-09-28 16:44:13,-30.98,-71.32,48,4.1
2015-09-28 15:28:04,-23.88,-67.12,250,6
2015-09-28 13:01:53,-31.18,-71.44,54,4.3
2015-09-28 04:16:09,-31.41,-71.36,50,4.1
2015-09-27 22:53:06,-30.91,-71.44,43,4.4
2015-09-27 22:39:58,-31.27,-71.81,27,4.8
2015-09-27 21:04:45,-31.67,-71.7,37,5.3
2015-09-27 08:28:36,-30.73,-71.47,43,4.6
2015-09-26 11:15:29,-31.83,-71.95,37,4.6
2015-09-26 09:37:52,-31.36,-71.41,46,4.3
2015-09-26 08:44:58,-30.82,-71.41,50,4.1
2015-09-26 08:19:37,-30.76,-71.39,50,4.1
2015-09-26 04:53:59,-30.72,-71.39,50,4.4
2015-09-26 03:24:36,-30.79,-71.39,40,4.1
2015-09-26 03:03:22,-30.77,-71.41,38,4.4
2015-09-26 02:51:18,-30.79,-71.42,40,6.3
2015-09-25 11:47:08,-31.56,-71.81,31,4.7
2015-09-25 11:33:28,-31.64,-71.56,36,4
2015-09-25 03:21:57,-20.91,-69.22,91,5.3
2015-09-24 18:20:30,-30.88,-71.45,51,4
2015-09-24 16:34:06,-30.71,-71.43,48,4.4
2015-09-24 16:13:25,-30.7,-71.4,50,5.4
2015-09-24 13:35:54,-31.69,-71.55,25,4.8
2015-09-24 07:14:44,-20.21,-69.15,100,4.8
2015-09-23 14:05:57,-31.44,-71.44,50,4.4
2015-09-23 11:32:42,-31.64,-71.89,41,5.1
2015-09-23 10:05:53,-31.57,-71.69,39,4
2015-09-23 04:21:27,-31.35,-72.01,28,5
2015-09-23 00:23:46,-31.63,-71.27,44,4.1
2015-09-22 22:26:40,-31.02,-71.57,44,5
2015-09-22 13:40:31,-33.32,-71.32,51,4.2
2015-09-22 13:17:22,-32.24,-71.77,25,4.5
2015-09-22 08:54:26,-31.57,-71.91,30,4.4
2015-09-22 08:37:34,-30.42,-71.6,24,4.6
2015-09-22 07:12:59,-31.45,-71.13,63,6.2
2015-09-21 22:25:30,-31.71,-71.68,35,4.1
2015-09-21 21:17:09,-33.07,-72.07,20,4.1
2015-09-21 19:56:09,-31.77,-71.6,36,6
2015-09-21 19:08:05,-31.6,-71.57,36,4.5
2015-09-21 18:47:06,-31.76,-71.57,37,4.6
2015-09-21 18:36:53,-31.09,-71.77,31,5.8
2015-09-21 17:39:58,-31.76,-71.55,13,6.7
2015-09-21 16:48:07,-30.83,-71.46,49,4.3
2015-09-21 15:37:07,-31.11,-71.79,30,6
2015-09-21 11:05:27,-30.97,-71.47,32,4
2015-09-21 10:13:09,-30.73,-71.34,30,4.5
2015-09-21 07:18:37,-30.66,-71.41,39,4.5
2015-09-21 05:39:34,-31.76,-71.74,41,6.2
2015-09-21 05:07:35,-33.06,-72.09,22,4.1
2015-09-21 03:17:12,-32.21,-71.83,34,4.2
2015-09-21 01:42:14,-30.77,-71.83,33,4
2015-09-21 00:05:33,-30.76,-71.46,40,4.4
2015-09-20 17:18:26,-30.66,-71.74,37,4.8
2015-09-20 14:31:08,-30.59,-71.74,38,5.2
2015-09-20 06:55:49,-30.6,-71.61,32,4.8
2015-09-20 03:02:01,-30.79,-71.32,48,5.5
2015-09-20 00:10:26,-30.84,-71.6,34,4.4
2015-09-19 22:59:41,-30.73,-71.3,28,4.8
2015-09-19 19:09:04,-32.36,-71.78,37,4.6
2015-09-19 18:13:16,-31.31,-71.71,42,4.8
2015-09-19 13:09:00,-30.62,-71.91,29,5.7
2015-09-19 13:01:07,-32.44,-71.83,32,4.7
2015-09-19 12:52:20,-32.33,-71.91,27,6.3
2015-09-19 10:46:04,-34.0,-71.2,71,4.5
2015-09-19 09:07:07,-31.13,-71.58,34,6
2015-09-19 06:27:13,-28.85,-71.31,45,4.9
2015-09-19 05:55:24,-31.79,-71.5,37,4.6
2015-09-19 05:13:34,-31.82,-71.62,50,4.2
2015-09-19 05:06:45,-29.65,-72.28,30,6.3
2015-09-19 04:44:12,-30.82,-71.39,51,4.6
2015-09-19 02:49:40,-31.54,-71.77,32,5.4
2015-09-19 01:22:55,-30.79,-71.44,44,4
2015-09-19 00:42:44,-31.64,-71.66,39,4.3
2015-09-18 19:54:47,-30.11,-71.55,16,4.7
2015-09-18 19:21:56,-30.85,-71.35,48,4
2015-09-18 14:08:08,-30.87,-71.27,45,4.5
2015-09-18 11:05:55,-31.59,-71.46,38,4.1
2015-09-18 09:10:40,-32.06,-72.1,33,6
2015-09-18 07:44:09,-31.38,-71.56,41,4.5
